Time	Trip Fraction[public transport]	Trip Fraction[regular car]	Trip Fraction[electric car]	Owner Fraction[public transport]	Owner Fraction[regular car]	Owner Fraction[electric car]
2010	0.239457	0.760543	0	0.198895	0.801105	0
2010.13	0.239457	0.760543	0	0.198895	0.801105	0
2010.25	0.237458	0.762542	0	0.197069	0.802931	0
2010.38	0.235477	0.764523	0	0.195267	0.804733	0
2010.5	0.233519	0.766481	0	0.193493	0.806507	0
2010.63	0.231584	0.768416	0	0.191747	0.808253	0
2010.75	0.229672	0.770328	0	0.190027	0.809973	0
2010.88	0.227783	0.772217	0	0.188334	0.811666	0
2011	0.225918	0.774082	0	0.186667	0.813333	0
2011.13	0.224077	0.775923	0	0.185026	0.814974	0
2011.25	0.22226	0.77774	0	0.18341	0.81659	0
2011.38	0.220467	0.779533	0	0.18182	0.81818	0
2011.5	0.218699	0.781301	0	0.180255	0.819745	0
2011.63	0.216954	0.783046	0	0.178714	0.821286	0
2011.75	0.215234	0.784766	0	0.177197	0.822803	0
2011.88	0.213538	0.786462	0	0.175704	0.824296	0
2012	0.211867	0.788133	0	0.174234	0.825766	0
2012.13	0.210219	0.789781	0	0.172788	0.827212	0
2012.25	0.208595	0.791405	0	0.171364	0.828636	0
2012.38	0.206995	0.793005	0	0.169963	0.830037	0
2012.5	0.205418	0.794582	0	0.168584	0.831416	0
2012.63	0.203865	0.796135	0	0.167226	0.832774	0
2012.75	0.202334	0.797666	0	0.16589	0.834109	3.05573e-007
2012.88	0.200827	0.799173	1.27317e-009	0.164575	0.835423	1.47823e-006
2013	0.199342	0.800658	1.47624e-008	0.16328	0.836715	4.28987e-006
2013.13	0.19788	0.80212	8.07129e-008	0.162006	0.837984	9.68089e-006
2013.25	0.19644	0.80356	2.93359e-007	0.160751	0.83923	1.87219e-005
2013.38	0.195022	0.804977	8.19453e-007	0.159516	0.840452	3.25788e-005
2013.5	0.193625	0.806373	1.90538e-006	0.158299	0.841649	5.24806e-005
2013.63	0.19225	0.807746	3.87521e-006	0.157101	0.842819	7.96908e-005
2013.75	0.190896	0.809097	7.12425e-006	0.155921	0.843964	0.000115481
2013.88	0.189562	0.810426	1.21113e-005	0.154758	0.845081	0.000161109
2014	0.188249	0.811732	1.93506e-005	0.153613	0.846169	0.000217795
2014.13	0.186955	0.813016	2.94043e-005	0.152485	0.847229	0.000286707
2014.25	0.18568	0.814277	4.28749e-005	0.151373	0.848259	0.000368943
2014.38	0.184424	0.815515	6.03972e-005	0.150276	0.849258	0.00046552
2014.5	0.183187	0.81673	8.2631e-005	0.149196	0.850227	0.000577358
2014.63	0.181967	0.817922	0.000110253	0.14813	0.851164	0.000705277
2014.75	0.180766	0.819091	0.00014395	0.14708	0.85207	0.000849985
2014.88	0.179581	0.820235	0.000184409	0.146043	0.852945	0.00101208
2015	0.178412	0.821355	0.000232313	0.145021	0.853787	0.00119202
2015.13	0.17726	0.822452	0.000288331	0.144013	0.854597	0.00139018
2015.25	0.176123	0.823524	0.000353112	0.143017	0.855376	0.00160678
