Time	Trip Fraction[public transport]	Trip Fraction[regular car]	Trip Fraction[electric car]	Owner Fraction[public transport]	Owner Fraction[regular car]	Owner Fraction[electric car]
2010	0.239457	0.760543	0	0.198895	0.801105	0
2010.13	0.239457	0.760543	0	0.198895	0.801105	0
2010.25	0.237458	0.762542	0	0.197069	0.802931	0
2010.38	0.235477	0.764523	0	0.195267	0.804733	0
2010.5	0.233519	0.766481	0	0.193493	0.806507	0
2010.63	0.231584	0.768416	0	0.191747	0.808253	0
2010.75	0.229672	0.770328	0	0.190027	0.809973	0
2010.88	0.227783	0.772217	0	0.188334	0.811666	0
2011	0.225918	0.774082	0	0.186667	0.813333	0
2011.13	0.224077	0.775923	0	0.185026	0.814974	0
2011.25	0.22226	0.77774	0	0.18341	0.81659	0
2011.38	0.220467	0.779533	0	0.18182	0.81818	0
2011.5	0.218699	0.781301	0	0.180255	0.819745	0
2011.63	0.216954	0.783046	0	0.178714	0.821286	0
2011.75	0.215234	0.784766	0	0.177197	0.822803	0
2011.88	0.213538	0.786462	0	0.175704	0.824296	0
2012	0.211867	0.788133	0	0.174234	0.825766	0
2012.13	0.210219	0.789781	0	0.172788	0.827212	0
2012.25	0.209226	0.790774	0	0.171364	0.828636	0
2012.38	0.208263	0.791737	0	0.169974	0.830026	0
2012.5	0.207328	0.792672	0	0.168614	0.831385	0
2012.63	0.206422	0.793578	0	0.167287	0.832713	0
2012.75	0.205546	0.794454	0	0.16599	0.83401	3.04527e-007
2012.88	0.2047	0.7953	6.22616e-010	0.164724	0.835274	1.47212e-006
2013	0.203887	0.796113	7.37066e-009	0.163489	0.836506	4.26894e-006
2013.13	0.203108	0.796892	4.17381e-008	0.162285	0.837705	9.62621e-006
2013.25	0.202364	0.797636	1.58605e-007	0.161113	0.838869	1.86012e-005
2013.38	0.201657	0.798343	4.65201e-007	0.159971	0.839997	3.23413e-005
2013.5	0.200988	0.799011	1.13607e-006	0.158861	0.841087	5.2052e-005
2013.63	0.20036	0.799637	2.42088e-006	0.157782	0.842139	7.89666e-005
2013.75	0.199775	0.80022	4.64513e-006	0.156735	0.84315	0.000114321
2013.88	0.199235	0.800757	8.2055e-006	0.155721	0.84412	0.000159327
2014	0.198741	0.801246	1.35622e-005	0.154739	0.845046	0.000215155
2014.13	0.198295	0.801683	2.12294e-005	0.15379	0.845927	0.000282914
2014.25	0.197901	0.802067	3.17661e-005	0.152875	0.846762	0.000363634
2014.38	0.19756	0.802394	4.57655e-005	0.151993	0.847548	0.000458256
2014.5	0.197274	0.802662	6.38461e-005	0.151146	0.848286	0.000567618
2014.63	0.197046	0.802868	8.66422e-005	0.150334	0.848974	0.000692447
2014.75	0.196877	0.803009	0.000114795	0.149557	0.849609	0.000833353
2014.88	0.196769	0.803082	0.000148944	0.148816	0.850193	0.000990824
2015	0.196726	0.803084	0.000189721	0.148112	0.850723	0.00116522
2015.13	0.196748	0.803014	0.000237738	0.147444	0.8512	0.00135678
2015.25	0.196838	0.802868	0.000293586	0.146813	0.851621	0.00156562
