Time	Trip Fraction[public transport]	Trip Fraction[regular car]	Trip Fraction[electric car]	Owner Fraction[public transport]	Owner Fraction[regular car]	Owner Fraction[electric car]
2010	0.239378	0.760622	0	0.160822	0.839178	0
2010.13	0.239378	0.760622	0	0.160822	0.839178	0
2010.25	0.236817	0.763183	0	0.159912	0.840088	0
2010.38	0.234394	0.765606	0	0.159018	0.840982	0
2010.5	0.232113	0.767887	0	0.158143	0.841857	0
2010.63	0.229965	0.770036	0	0.157288	0.842712	0
2010.75	0.227941	0.772059	0	0.156452	0.843548	0
2010.88	0.226034	0.773966	0	0.155634	0.844366	0
2011	0.224236	0.775764	0	0.154833	0.845167	0
2011.13	0.222542	0.777458	0	0.154049	0.845951	0
2011.25	0.220943	0.779057	0	0.153282	0.846718	0
2011.38	0.219435	0.780565	0	0.152531	0.847469	0
2011.5	0.218011	0.781989	0	0.151796	0.848204	0
2011.63	0.216667	0.783333	0	0.151076	0.848924	0
2011.75	0.215398	0.784602	0	0.150372	0.849628	0
2011.88	0.214198	0.785802	0	0.149681	0.850319	0
2012	0.213064	0.786936	0	0.149005	0.850995	0
2012.13	0.211991	0.788009	0	0.148343	0.851657	0
2012.25	0.210977	0.789023	0	0.147694	0.852306	0
2012.38	0.210016	0.789984	0	0.147058	0.852942	0
2012.5	0.209107	0.790893	0	0.146436	0.853564	0
2012.63	0.208245	0.791755	0	0.145825	0.854175	0
2012.75	0.207429	0.792571	0	0.145226	0.854766	7.20754e-006
2012.88	0.206655	0.793345	1.14376e-007	0.144639	0.855341	2.02908e-005
2013	0.205921	0.794079	5.4502e-007	0.144062	0.855899	3.90352e-005
2013.13	0.205224	0.794774	1.54074e-006	0.143496	0.856441	6.30143e-005
2013.25	0.204564	0.795433	3.35885e-006	0.14294	0.856968	9.16623e-005
2013.38	0.203936	0.796058	6.23751e-006	0.142395	0.857481	0.000124339
2013.5	0.20334	0.796649	1.03782e-005	0.14186	0.85798	0.000160377
2013.63	0.202773	0.797211	1.59363e-005	0.141335	0.858466	0.000199113
2013.75	0.202234	0.797743	2.30164e-005	0.14082	0.85894	0.000239911
2013.88	0.201721	0.798247	3.16725e-005	0.140315	0.859403	0.000282177
2014	0.201233	0.798725	4.19101e-005	0.139819	0.859856	0.000325365
2014.13	0.200767	0.799179	5.36905e-005	0.139333	0.860298	0.000368983
2014.25	0.200323	0.79961	6.6936e-005	0.138856	0.860732	0.000412594
2014.38	0.1999	0.800019	8.15364e-005	0.138388	0.861156	0.000455817
2014.5	0.199496	0.800407	9.73554e-005	0.137929	0.861573	0.000498321
2014.63	0.19911	0.800776	0.000114236	0.137479	0.861981	0.000539827
2014.75	0.198741	0.801127	0.000132008	0.137038	0.862382	0.000580103
2014.88	0.198389	0.80146	0.000150491	0.136605	0.862776	0.000618957
2015	0.198053	0.801778	0.000169499	0.13618	0.863163	0.000656237
2015.13	0.197731	0.80208	0.000188847	0.135764	0.863544	0.000691827
2015.25	0.197423	0.802368	0.00020835	0.135356	0.863919	0.000725639
2015.38	0.197129	0.802643	0.000227828	0.134955	0.864287	0.000757616
2015.5	0.196847	0.802906	0.000247109	0.134562	0.86465	0.000787722
2015.63	0.196577	0.803157	0.000266027	0.134177	0.865007	0.000815943
2015.75	0.196319	0.803397	0.000284427	0.133799	0.865359	0.000842282
2015.88	0.196071	0.803626	0.000302167	0.133428	0.865705	0.000866759
2016	0.195834	0.803847	0.000319112	0.133065	0.866046	0.000889405
2016.13	0.195607	0.804058	0.000335144	0.132708	0.866382	0.00091026
2016.25	0.195389	0.804261	0.000350157	0.132358	0.866713	0.000929376
2016.38	0.19518	0.804456	0.000364056	0.132014	0.867039	0.000946808
2016.5	0.194979	0.804644	0.000376762	0.131677	0.86736	0.000962619
2016.63	0.194787	0.804825	0.00038821	0.131346	0.867677	0.000976873
2016.75	0.194602	0.804999	0.000398347	0.131021	0.867989	0.000989641
2016.88	0.194425	0.805168	0.000407136	0.130702	0.868297	0.00100099
2017	0.194254	0.805331	0.000414552	0.130389	0.8686	0.00101099
2017.13	0.19409	0.805489	0.000420583	0.130082	0.868899	0.00101972
2017.25	0.193932	0.805643	0.000425229	0.12978	0.869193	0.00102724
2017.38	0.19378	0.805791	0.000428506	0.129483	0.869483	0.00103362
2017.5	0.193634	0.805936	0.000430436	0.129192	0.869769	0.00103893
2017.63	0.193493	0.806076	0.000431056	0.128906	0.870051	0.00104324
2017.75	0.193356	0.806213	0.00043041	0.128625	0.870329	0.0010466
2017.88	0.193225	0.806347	0.000428552	0.128348	0.870603	0.00104909
2018	0.193097	0.806477	0.000425543	0.128077	0.870872	0.00105076
2018.13	0.192974	0.806604	0.000421452	0.12781	0.871139	0.00105166
2018.25	0.192855	0.806729	0.00041635	0.127547	0.871401	0.00105185
2018.38	0.192739	0.806851	0.000410316	0.127289	0.871659	0.00105139
2018.5	0.192626	0.806971	0.00040343	0.127036	0.871914	0.00105031
2018.63	0.192516	0.807088	0.000395774	0.126786	0.872165	0.00104867
2018.75	0.192409	0.807204	0.000387431	0.126541	0.872413	0.00104651
2018.88	0.192304	0.807317	0.000378483	0.126299	0.872657	0.00104387
2019	0.192202	0.807429	0.000369013	0.126061	0.872898	0.00104078
2019.13	0.192102	0.807539	0.000359101	0.125828	0.873135	0.00103729
2019.25	0.192004	0.807647	0.000348823	0.125597	0.873369	0.00103344
2019.38	0.191907	0.807755	0.000338252	0.125371	0.8736	0.00102924
2019.5	0.191812	0.80786	0.00032746	0.125147	0.873828	0.00102473
2019.63	0.191719	0.807965	0.000316511	0.124928	0.874052	0.00101994
2019.75	0.191626	0.808068	0.000305467	0.124711	0.874274	0.00101489
2019.88	0.191535	0.808171	0.000294384	0.124498	0.874493	0.00100962
2020	0.191444	0.808272	0.000283315	0.124288	0.874708	0.00100413
2020.13	0.191355	0.808373	0.000272305	0.124081	0.874921	0.000998458
2020.25	0.191266	0.808473	0.000261398	0.123876	0.875131	0.000992615
2020.38	0.191177	0.808572	0.000250631	0.123675	0.875338	0.000986621
2020.5	0.191089	0.808671	0.000240037	0.123477	0.875543	0.000980494
2020.63	0.191002	0.808769	0.000229644	0.123281	0.875745	0.000974247
2020.75	0.190914	0.808866	0.000219478	0.123088	0.875944	0.000967896
2020.88	0.190827	0.808963	0.000209559	0.122897	0.876141	0.000961453
2021	0.19074	0.80906	0.000199904	0.122709	0.876336	0.000954931
2021.13	0.190653	0.809156	0.000190527	0.122524	0.876528	0.000948342
2021.25	0.190566	0.809252	0.00018144	0.122341	0.876718	0.000941694
2021.38	0.190479	0.809348	0.00017265	0.12216	0.876905	0.000934998
2021.5	0.190392	0.809444	0.000164162	0.121981	0.877091	0.000928263
2021.63	0.190304	0.80954	0.000155982	0.121805	0.877274	0.000921496
2021.75	0.190216	0.809635	0.000148108	0.12163	0.877455	0.000914705
2021.88	0.190128	0.809731	0.000140543	0.121458	0.877634	0.000907897
2022	0.19004	0.809827	0.000133282	0.121288	0.877811	0.000901078
2022.13	0.189951	0.809923	0.000126323	0.121119	0.877987	0.000894253
2022.25	0.189862	0.810019	0.000119663	0.120953	0.87816	0.000887427
2022.38	0.189772	0.810115	0.000113294	0.120788	0.878332	0.000880606
2022.5	0.189681	0.810211	0.000107211	0.120625	0.878501	0.000873794
2022.63	0.18959	0.810308	0.000101407	0.120464	0.878669	0.000866994
2022.75	0.189499	0.810405	9.58738e-005	0.120304	0.878836	0.000860211
2022.88	0.189407	0.810503	9.06043e-005	0.120146	0.879001	0.000853447
2023	0.189314	0.810601	8.55898e-005	0.119989	0.879164	0.000846705
2023.13	0.18922	0.810699	8.08217e-005	0.119834	0.879326	0.000839988
2023.25	0.189126	0.810798	7.62914e-005	0.119681	0.879486	0.000833298
2023.38	0.18903	0.810898	7.199e-005	0.119529	0.879645	0.000826638
2023.5	0.188934	0.810998	6.79086e-005	0.119378	0.879802	0.00082001
2023.63	0.188838	0.811098	6.40384e-005	0.119228	0.879958	0.000813415
2023.75	0.18874	0.8112	6.03707e-005	0.11908	0.880113	0.000806855
2023.88	0.188641	0.811302	5.68968e-005	0.118933	0.880267	0.000800331
2024	0.188542	0.811405	5.36082e-005	0.118787	0.880419	0.000793844
2024.13	0.188441	0.811509	5.04966e-005	0.118642	0.880571	0.000787397
2024.25	0.188339	0.811613	4.75539e-005	0.118498	0.880721	0.000780989
2024.38	0.188237	0.811719	4.47722e-005	0.118355	0.88087	0.000774621
2024.5	0.188133	0.811825	4.21438e-005	0.118214	0.881018	0.000768295
2024.63	0.188028	0.811932	3.96612e-005	0.118073	0.881165	0.000762011
2024.75	0.187922	0.812041	3.73172e-005	0.117933	0.881312	0.000755769
2024.88	0.187815	0.81215	3.51049e-005	0.117793	0.881457	0.00074957
2025	0.187707	0.81226	3.30177e-005	0.117655	0.881601	0.000743415
2025.13	0.187597	0.812372	3.10491e-005	0.117518	0.881745	0.000737304
2025.25	0.187486	0.812485	2.9193e-005	0.117381	0.881888	0.000731236
2025.38	0.187374	0.812599	2.74434e-005	0.117244	0.88203	0.000725213
2025.5	0.18726	0.812714	2.57946e-005	0.117109	0.882172	0.000719234
2025.63	0.187145	0.81283	2.42414e-005	0.116974	0.882313	0.0007133
2025.75	0.187029	0.812948	2.27785e-005	0.11684	0.882453	0.000707411
2025.88	0.186911	0.813067	2.14011e-005	0.116706	0.882593	0.000701566
2026	0.186792	0.813188	2.01043e-005	0.116573	0.882732	0.000695766
2026.13	0.186672	0.813309	1.88839e-005	0.11644	0.88287	0.000690011
2026.25	0.186549	0.813433	1.77354e-005	0.116307	0.883008	0.0006843
2026.38	0.186426	0.813558	1.66549e-005	0.116175	0.883146	0.000678634
2026.5	0.1863	0.813684	1.56386e-005	0.116044	0.883283	0.000673012
2026.63	0.186173	0.813812	1.46828e-005	0.115912	0.88342	0.000667435
2026.75	0.186045	0.813941	1.37841e-005	0.115781	0.883557	0.000661902
2026.88	0.185914	0.814073	1.29392e-005	0.11565	0.883693	0.000656412
2027	0.185782	0.814206	1.2145e-005	0.11552	0.883829	0.000650967
2027.13	0.185648	0.81434	1.13985e-005	0.115389	0.883965	0.000645565
2027.25	0.185513	0.814476	1.06971e-005	0.115259	0.8841	0.000640206
2027.38	0.185375	0.814615	1.00381e-005	0.115129	0.884236	0.000634891
2027.5	0.185236	0.814755	9.41891e-006	0.114999	0.884371	0.000629619
2027.63	0.185095	0.814896	8.83731e-006	0.114869	0.884506	0.000624389
2027.75	0.184952	0.81504	8.29106e-006	0.11474	0.884641	0.000619202
2027.88	0.184807	0.815186	7.77806e-006	0.11461	0.884776	0.000614057
2028	0.184659	0.815333	7.29634e-006	0.11448	0.884911	0.000608954
2028.13	0.18451	0.815483	6.84405e-006	0.11435	0.885046	0.000603892
2028.25	0.184359	0.815635	6.41942e-006	0.11422	0.885181	0.000598872
2028.38	0.184206	0.815788	6.02081e-006	0.11409	0.885316	0.000593893
2028.5	0.18405	0.815944	5.64664e-006	0.11396	0.885451	0.000588955
2028.63	0.183892	0.816102	5.29547e-006	0.113829	0.885587	0.000584058
2028.75	0.183732	0.816263	4.96589e-006	0.113699	0.885722	0.0005792
2028.88	0.18357	0.816425	4.65661e-006	0.113568	0.885858	0.000574383
2029	0.183406	0.81659	4.36639e-006	0.113437	0.885994	0.000569605
2029.13	0.183239	0.816757	4.09409e-006	0.113305	0.88613	0.000564867
2029.25	0.18307	0.816926	3.83861e-006	0.113174	0.886266	0.000560168
2029.38	0.182898	0.817098	3.59893e-006	0.113042	0.886403	0.000555507
2029.5	0.182724	0.817272	3.37409e-006	0.11291	0.88654	0.000550885
2029.63	0.182548	0.817449	3.16318e-006	0.112777	0.886677	0.000546302
2029.75	0.182369	0.817628	2.96536e-006	0.112644	0.886814	0.000541756
2029.88	0.182188	0.81781	2.77981e-006	0.11251	0.886953	0.000537248
2030	0.182004	0.817994	2.60579e-006	0.112376	0.887091	0.000532777
2030.13	0.181817	0.818181	2.44259e-006	0.112242	0.88723	0.000528343
2030.25	0.181628	0.81837	2.28954e-006	0.112107	0.887369	0.000523946
2030.38	0.181436	0.818562	2.14603e-006	0.111971	0.887509	0.000519585
2030.5	0.181241	0.818757	2.01145e-006	0.111835	0.88765	0.000515261
2030.63	0.181044	0.818954	1.88527e-006	0.111699	0.88779	0.000510972
2030.75	0.180844	0.819155	1.76695e-006	0.111561	0.887932	0.000506719
2030.88	0.18064	0.819358	1.65603e-006	0.111423	0.888074	0.000502502
2031	0.180435	0.819564	1.55203e-006	0.111285	0.888217	0.000498319
2031.13	0.180226	0.819773	1.45453e-006	0.111146	0.88836	0.000494171
2031.25	0.180014	0.819985	1.36313e-006	0.111006	0.888504	0.000490057
2031.38	0.179799	0.820199	1.27744e-006	0.110865	0.888649	0.000485978
2031.5	0.179582	0.820417	1.19712e-006	0.110724	0.888794	0.000481933
