Time	Trip Fraction[public transport]	Trip Fraction[regular car]	Trip Fraction[electric car]	Owner Fraction[public transport]	Owner Fraction[regular car]	Owner Fraction[electric car]
2010	0.239457	0.760543	0	0.198895	0.801105	0
2010.13	0.239457	0.760543	0	0.198895	0.801105	0
2010.25	0.237458	0.762542	0	0.197069	0.802931	0
2010.38	0.235477	0.764523	0	0.195267	0.804733	0
2010.5	0.233519	0.766481	0	0.193493	0.806507	0
2010.63	0.231584	0.768416	0	0.191747	0.808253	0
2010.75	0.229672	0.770328	0	0.190027	0.809973	0
2010.88	0.227783	0.772217	0	0.188334	0.811666	0
2011	0.225918	0.774082	0	0.186667	0.813333	0
2011.13	0.224077	0.775923	0	0.185026	0.814974	0
2011.25	0.22226	0.77774	0	0.18341	0.81659	0
2011.38	0.220467	0.779533	0	0.18182	0.81818	0
2011.5	0.218699	0.781301	0	0.180255	0.819745	0
2011.63	0.216954	0.783046	0	0.178714	0.821286	0
2011.75	0.215234	0.784766	0	0.177197	0.822803	0
2011.88	0.213538	0.786462	0	0.175704	0.824296	0
2012	0.211867	0.788133	0	0.174234	0.825766	0
2012.13	0.210219	0.789781	0	0.172788	0.827212	0
2012.25	0.209226	0.790774	0	0.171364	0.828636	0
2012.38	0.208263	0.791737	0	0.169974	0.830026	0
2012.5	0.207328	0.792672	0	0.168614	0.831385	0
2012.63	0.206422	0.793578	0	0.167287	0.832713	0
2012.75	0.205545	0.794455	0	0.16599	0.83401	3.04527e-007
2012.88	0.2047	0.7953	6.22643e-010	0.164724	0.835274	1.47212e-006
2013	0.203887	0.796113	7.37126e-009	0.163489	0.836506	4.26896e-006
2013.13	0.203107	0.796893	4.17435e-008	0.162285	0.837705	9.62629e-006
2013.25	0.202363	0.797637	1.58634e-007	0.161112	0.838869	1.86014e-005
2013.38	0.201655	0.798344	4.65315e-007	0.15997	0.839997	3.23419e-005
2013.5	0.200986	0.799013	1.13642e-006	0.15886	0.841088	5.20532e-005
2013.63	0.200357	0.799641	2.42179e-006	0.15778	0.842141	7.89692e-005
2013.75	0.19977	0.800226	4.64719e-006	0.156733	0.843153	0.000114325
2013.88	0.199227	0.800765	8.20969e-006	0.155717	0.844123	0.000159336
2014	0.19873	0.801256	1.357e-005	0.154734	0.84505	0.00021517
2014.13	0.198281	0.801698	2.12432e-005	0.153784	0.845933	0.000282939
2014.25	0.197882	0.802086	3.17888e-005	0.152867	0.84677	0.000363674
2014.38	0.197536	0.802419	4.58014e-005	0.151983	0.847559	0.000458316
2014.5	0.197243	0.802693	6.39006e-005	0.151133	0.848299	0.000567707
2014.63	0.197006	0.802907	8.67224e-005	0.150317	0.84899	0.000692576
2014.75	0.196828	0.803057	0.00011491	0.149537	0.84963	0.000833536
2014.88	0.196709	0.803142	0.000149105	0.148791	0.850218	0.000991077
2015	0.196652	0.803158	0.00018994	0.148081	0.850754	0.00116557
2015.13	0.196659	0.803103	0.000238032	0.147407	0.851236	0.00135725
2015.25	0.196731	0.802975	0.000293974	0.146769	0.851665	0.00156623
