Time	Trip Fraction[public transport]	Trip Fraction[regular car]	Trip Fraction[electric car]	Owner Fraction[public transport]	Owner Fraction[regular car]	Owner Fraction[electric car]
2010	0.239378	0.760622	0	0.160822	0.839178	0
2010.13	0.239378	0.760622	0	0.160822	0.839178	0
2010.25	0.236817	0.763183	0	0.159912	0.840088	0
2010.38	0.234394	0.765606	0	0.159018	0.840982	0
2010.5	0.232113	0.767887	0	0.158143	0.841857	0
2010.63	0.229965	0.770036	0	0.157288	0.842712	0
2010.75	0.227941	0.772059	0	0.156452	0.843548	0
2010.88	0.226034	0.773966	0	0.155634	0.844366	0
2011	0.224236	0.775764	0	0.154833	0.845167	0
2011.13	0.222542	0.777458	0	0.154049	0.845951	0
2011.25	0.220943	0.779057	0	0.153282	0.846718	0
2011.38	0.219435	0.780565	0	0.152531	0.847469	0
2011.5	0.218011	0.781989	0	0.151796	0.848204	0
2011.63	0.216667	0.783333	0	0.151076	0.848924	0
2011.75	0.215398	0.784602	0	0.150372	0.849628	0
2011.88	0.214198	0.785802	0	0.149681	0.850319	0
2012	0.213064	0.786936	0	0.149005	0.850995	0
2012.13	0.211991	0.788009	0	0.148343	0.851657	0
2012.25	0.212004	0.787996	0	0.147694	0.852306	0
2012.38	0.212115	0.787885	0	0.147074	0.852926	0
2012.5	0.212312	0.787688	0	0.14648	0.85352	0
2012.63	0.212593	0.787407	0	0.145913	0.854087	0
2012.75	0.212952	0.787048	0	0.145369	0.854618	1.3536e-005
2012.88	0.213387	0.786613	1.53304e-007	0.144849	0.855112	3.92843e-005
2013	0.213896	0.786103	7.60821e-007	0.144352	0.85557	7.79936e-005
2013.13	0.214476	0.785521	2.2394e-006	0.143878	0.855992	0.000130018
2013.25	0.215126	0.784869	5.07949e-006	0.143427	0.856378	0.000195389
2013.38	0.215844	0.784147	9.80655e-006	0.142998	0.856728	0.00027389
2013.5	0.216627	0.783356	1.69501e-005	0.142593	0.857042	0.000365121
2013.63	0.217476	0.782497	2.70205e-005	0.14221	0.857322	0.000468546
2013.75	0.218389	0.781571	4.04927e-005	0.14185	0.857567	0.00058353
2013.88	0.219364	0.780578	5.7795e-005	0.141512	0.857778	0.000709366
2014	0.220402	0.779518	7.9302e-005	0.141198	0.857956	0.000845302
2014.13	0.221502	0.778393	0.000105331	0.140907	0.858102	0.000990563
2014.25	0.222663	0.777201	0.000136142	0.14064	0.858216	0.00114436
2014.38	0.223884	0.775944	0.000171933	0.140396	0.858298	0.00130591
2014.5	0.225166	0.774622	0.000212851	0.140176	0.85835	0.00147443
2014.63	0.226507	0.773234	0.000258985	0.139979	0.858372	0.00164919
2014.75	0.227907	0.771783	0.000310374	0.139807	0.858364	0.00182946
2014.88	0.229366	0.770267	0.000367013	0.139659	0.858327	0.00201455
2015	0.230883	0.768688	0.000428853	0.139535	0.858261	0.00220381
2015.13	0.232458	0.767046	0.000495805	0.139435	0.858168	0.00239663
2015.25	0.23409	0.765343	0.000567747	0.13936	0.858048	0.00259245
2015.38	0.235777	0.763578	0.000644529	0.139309	0.8579	0.00279073
2015.5	0.23752	0.761754	0.000725971	0.139283	0.857726	0.002991
2015.63	0.239316	0.759872	0.000811873	0.139281	0.857526	0.00319282
2015.75	0.241166	0.757932	0.000902016	0.139303	0.857301	0.00339577
2015.88	0.243067	0.755937	0.000996166	0.139349	0.857051	0.00359952
2016	0.245018	0.753888	0.00109407	0.139419	0.856777	0.00380372
2016.13	0.247018	0.751787	0.00119549	0.139513	0.856479	0.0040081
2016.25	0.248998	0.749702	0.00130061	0.139621	0.856166	0.00421273
2016.38	0.250961	0.74763	0.00140919	0.139743	0.85584	0.00441738
2016.5	0.252912	0.745567	0.00152094	0.139879	0.8555	0.00462185
2016.63	0.254854	0.743511	0.0016356	0.140029	0.855145	0.00482596
2016.75	0.256789	0.741458	0.00175289	0.140193	0.854777	0.00502957
2016.88	0.258722	0.739406	0.00187253	0.140372	0.854395	0.00523255
2017	0.260653	0.737352	0.00199426	0.140566	0.853999	0.00543479
2017.13	0.262586	0.735296	0.0021178	0.140774	0.85359	0.0056362
2017.25	0.264521	0.733236	0.00224291	0.140996	0.853167	0.0058367
2017.38	0.266461	0.73117	0.00236931	0.141233	0.852731	0.00603625
2017.5	0.268411	0.729093	0.00249673	0.141485	0.852281	0.00623476
2017.63	0.270391	0.726984	0.00262473	0.141755	0.851813	0.00643207
2017.75	0.272403	0.724844	0.00275306	0.142045	0.851327	0.00662814
2017.88	0.274447	0.722671	0.00288149	0.142353	0.850824	0.00682296
2018	0.276523	0.720467	0.00300979	0.14268	0.850304	0.00701652
2018.13	0.278631	0.718231	0.00313775	0.143025	0.849766	0.0072088
2018.25	0.280772	0.715963	0.00326515	0.143389	0.849211	0.0073998
2018.38	0.282944	0.713664	0.00339179	0.143772	0.848639	0.00758953
2018.5	0.285149	0.711334	0.00351749	0.144172	0.84805	0.007778
2018.63	0.287385	0.708973	0.00364207	0.144591	0.847444	0.00796521
2018.75	0.289653	0.706582	0.00376536	0.145028	0.846821	0.00815117
2018.88	0.291951	0.704162	0.0038872	0.145482	0.846182	0.00833589
2019	0.294279	0.701713	0.00400743	0.145954	0.845526	0.0085194
2019.13	0.296637	0.699237	0.00412592	0.146444	0.844854	0.0087017
2019.25	0.299024	0.696733	0.00424254	0.146951	0.844167	0.0088828
2019.38	0.301439	0.694204	0.00435716	0.147474	0.843463	0.00906274
2019.5	0.303882	0.691649	0.00446968	0.148015	0.842744	0.00924151
2019.63	0.30635	0.68907	0.00457998	0.148572	0.842009	0.00941914
2019.75	0.308844	0.686468	0.00468798	0.149145	0.84126	0.00959564
2019.88	0.311363	0.683843	0.00479359	0.149734	0.840495	0.00977102
2020	0.313905	0.681198	0.00489673	0.150339	0.839716	0.0099453
2020.13	0.316469	0.678533	0.00499734	0.150959	0.838922	0.0101185
2020.25	0.31906	0.675849	0.00509089	0.1516	0.838128	0.010272
2020.38	0.321675	0.673149	0.00517574	0.152261	0.837332	0.0104071
2020.5	0.324317	0.670433	0.00525042	0.152941	0.836535	0.0105249
2020.63	0.326983	0.667704	0.00531369	0.153639	0.835734	0.0106266
2020.75	0.329673	0.664962	0.00536451	0.154356	0.83493	0.0107132
2020.88	0.332387	0.662211	0.00540208	0.155091	0.834123	0.0107859
2021	0.335124	0.65945	0.00542579	0.155843	0.833312	0.0108455
2021.13	0.337882	0.656682	0.00543528	0.156611	0.832496	0.010893
2021.25	0.340661	0.653908	0.00543039	0.157395	0.831675	0.0109293
2021.38	0.34346	0.651129	0.00541116	0.158195	0.83085	0.0109553
2021.5	0.346275	0.648347	0.00537782	0.15901	0.830019	0.0109717
2021.63	0.349107	0.645562	0.00533077	0.159838	0.829182	0.0109793
2021.75	0.351953	0.642776	0.00527059	0.160681	0.82834	0.0109787
2021.88	0.354812	0.63999	0.00519797	0.161537	0.827492	0.0109708
2022	0.357681	0.637205	0.00511373	0.162406	0.826638	0.010956
2022.13	0.360558	0.634423	0.0050188	0.163287	0.825778	0.010935
2022.25	0.363442	0.631643	0.00491415	0.16418	0.824912	0.0109082
2022.38	0.366331	0.628868	0.00480084	0.165084	0.82404	0.0108763
2022.5	0.369221	0.626099	0.00467993	0.165999	0.823161	0.0108397
2022.63	0.372113	0.623335	0.0045525	0.166924	0.822277	0.0107988
2022.75	0.375002	0.620578	0.00441962	0.167859	0.821387	0.010754
2022.88	0.377888	0.61783	0.00428236	0.168803	0.820491	0.0107058
2023	0.380768	0.61509	0.00414171	0.169757	0.819589	0.0106543
2023.13	0.383641	0.61236	0.00399864	0.170718	0.818681	0.0106001
2023.25	0.386506	0.60964	0.00385405	0.171688	0.817768	0.0105433
2023.38	0.389359	0.606932	0.00370878	0.172666	0.81685	0.0104842
2023.5	0.392201	0.604235	0.0035636	0.17365	0.815926	0.0104231
2023.63	0.395029	0.601552	0.00341921	0.174642	0.814998	0.0103603
2023.75	0.397842	0.598881	0.00327623	0.17564	0.814064	0.0102958
2023.88	0.40064	0.596225	0.00313521	0.176644	0.813126	0.01023
2024	0.40342	0.593583	0.00299664	0.177653	0.812184	0.0101629
2024.13	0.406182	0.590957	0.00286093	0.178668	0.811237	0.0100948
2024.25	0.408925	0.588346	0.00272843	0.179688	0.810287	0.0100259
2024.38	0.411649	0.585752	0.00259943	0.180712	0.809332	0.00995611
2024.5	0.414351	0.583175	0.00247416	0.18174	0.808374	0.00988572
2024.63	0.417032	0.580615	0.00235282	0.182772	0.807413	0.0098148
2024.75	0.419691	0.578073	0.00223554	0.183808	0.806449	0.00974345
2024.88	0.422328	0.575549	0.00212242	0.184847	0.805482	0.00967177
2025	0.424942	0.573045	0.00201351	0.185888	0.804512	0.00959985
2025.13	0.427532	0.570559	0.00190885	0.186932	0.80354	0.00952775
2025.25	0.430099	0.568093	0.00180842	0.187979	0.802566	0.00945554
2025.38	0.432641	0.565647	0.00171222	0.189027	0.80159	0.00938331
2025.5	0.435159	0.563221	0.00162018	0.190077	0.800612	0.00931108
2025.63	0.437652	0.560815	0.00153224	0.191128	0.799633	0.00923893
2025.75	0.440121	0.558431	0.00144833	0.19218	0.798653	0.0091669
2025.88	0.442565	0.556067	0.00136834	0.193233	0.797672	0.00909502
2026	0.444983	0.553724	0.00129217	0.194287	0.79669	0.00902335
2026.13	0.447377	0.551404	0.00121972	0.19534	0.795708	0.0089519
2026.25	0.449745	0.549104	0.00115086	0.196394	0.794725	0.00888072
2026.38	0.452088	0.546827	0.00108546	0.197448	0.793742	0.00880982
2026.5	0.454405	0.544571	0.00102342	0.198501	0.79276	0.00873925
2026.63	0.456697	0.542338	0.000964588	0.199554	0.791777	0.008669
2026.75	0.458964	0.540127	0.000908847	0.200605	0.790796	0.00859912
2026.88	0.461206	0.537938	0.000856067	0.201656	0.789815	0.00852961
2027	0.463422	0.535771	0.000806121	0.202705	0.788835	0.00846049
2027.13	0.465614	0.533627	0.000758884	0.203752	0.787856	0.00839177
2027.25	0.46778	0.531506	0.000714232	0.204798	0.786879	0.00832347
2027.38	0.469921	0.529407	0.000672044	0.205842	0.785903	0.0082556
2027.5	0.472038	0.52733	0.000632205	0.206883	0.784928	0.00818816
2027.63	0.47413	0.525276	0.000594599	0.207923	0.783956	0.00812117
2027.75	0.476197	0.523244	0.000559116	0.20896	0.782986	0.00805463
2027.88	0.47824	0.521235	0.000525648	0.209994	0.782018	0.00798854
2028	0.480258	0.519248	0.000494094	0.211025	0.781052	0.00792291
2028.13	0.482252	0.517283	0.000464354	0.212054	0.780089	0.00785776
2028.25	0.484223	0.515341	0.000436333	0.213079	0.779128	0.00779307
2028.38	0.486169	0.513421	0.000409939	0.214101	0.77817	0.00772885
2028.5	0.488092	0.511522	0.000385085	0.215119	0.777215	0.00766511
2028.63	0.489992	0.509646	0.000361688	0.216134	0.776264	0.00760184
2028.75	0.491868	0.507792	0.000339667	0.217146	0.775315	0.00753905
2028.88	0.493722	0.505959	0.000318947	0.218153	0.77437	0.00747674
2029	0.495552	0.504148	0.000299456	0.219157	0.773428	0.0074149
2029.13	0.49736	0.502358	0.000281124	0.220156	0.77249	0.00735354
2029.25	0.499146	0.50059	0.000263887	0.221151	0.771556	0.00729266
2029.38	0.50091	0.498843	0.000247681	0.222142	0.770625	0.00723226
2029.5	0.502651	0.497117	0.000232448	0.223129	0.769699	0.00717232
2029.63	0.504371	0.495411	0.000218132	0.224111	0.768776	0.00711287
2029.75	0.506069	0.493726	0.000204679	0.225088	0.767858	0.00705388
2029.88	0.507746	0.492062	0.000192041	0.226061	0.766944	0.00699536
2030	0.509402	0.490418	0.000180169	0.227029	0.766034	0.00693732
2030.13	0.511037	0.488794	0.000169018	0.227992	0.765128	0.00687973
2030.25	0.512652	0.48719	0.000158546	0.22895	0.764228	0.00682261
2030.38	0.514246	0.485605	0.000148713	0.229903	0.763331	0.00676596
2030.5	0.51582	0.48404	0.000139481	0.230851	0.762439	0.00670976
2030.63	0.517375	0.482495	0.000130814	0.231794	0.761552	0.00665401
2030.75	0.518909	0.480968	0.000122678	0.232731	0.76067	0.00659872
2030.88	0.520425	0.47946	0.000115042	0.233663	0.759793	0.00654388
2031	0.521921	0.477971	0.000107876	0.23459	0.75892	0.00648949
2031.13	0.523398	0.476501	0.000101151	0.235511	0.758053	0.00643554
2031.25	0.524857	0.475048	9.48407e-005	0.236427	0.757191	0.00638204
2031.38	0.526297	0.473614	8.892e-005	0.237338	0.756333	0.00632897
2031.5	0.527719	0.472198	8.33653e-005	0.238243	0.755481	0.00627634
2031.63	0.529123	0.470799	7.81544e-005	0.239142	0.754634	0.00622414
2031.75	0.53051	0.469417	7.32664e-005	0.240035	0.753792	0.00617237
2031.88	0.531879	0.468053	6.86815e-005	0.240923	0.752956	0.00612102
2032	0.53323	0.466705	6.43812e-005	0.241805	0.752125	0.0060701
