Time	Trip Fraction[public transport]	Trip Fraction[regular car]	Trip Fraction[electric car]	Owner Fraction[public transport]	Owner Fraction[regular car]	Owner Fraction[electric car]
2010	0.239378	0.760622	0	0.160822	0.839178	0
2010.13	0.239378	0.760622	0	0.160822	0.839178	0
2010.25	0.236817	0.763183	0	0.159912	0.840088	0
2010.38	0.234394	0.765606	0	0.159018	0.840982	0
2010.5	0.232113	0.767887	0	0.158143	0.841857	0
2010.63	0.229965	0.770036	0	0.157288	0.842712	0
2010.75	0.227941	0.772059	0	0.156452	0.843548	0
2010.88	0.226034	0.773966	0	0.155634	0.844366	0
2011	0.224236	0.775764	0	0.154833	0.845167	0
2011.13	0.222542	0.777458	0	0.154049	0.845951	0
2011.25	0.220943	0.779057	0	0.153282	0.846718	0
2011.38	0.219435	0.780565	0	0.152531	0.847469	0
2011.5	0.218011	0.781989	0	0.151796	0.848204	0
2011.63	0.216667	0.783333	0	0.151076	0.848924	0
2011.75	0.215398	0.784602	0	0.150372	0.849628	0
2011.88	0.214198	0.785802	0	0.149681	0.850319	0
2012	0.213064	0.786936	0	0.149005	0.850995	0
2012.13	0.211991	0.788009	0	0.148343	0.851657	0
2012.25	0.210977	0.789023	0	0.147694	0.852306	0
2012.38	0.210016	0.789984	0	0.147058	0.852942	0
2012.5	0.209107	0.790893	0	0.146436	0.853564	0
2012.63	0.208245	0.791755	0	0.145825	0.854175	0
2012.75	0.207429	0.792571	0	0.145226	0.854763	1.13907e-005
2012.88	0.206655	0.793345	1.80759e-007	0.144637	0.855331	3.20596e-005
2013	0.205921	0.794078	8.61179e-007	0.144059	0.855879	6.16621e-005
2013.13	0.205225	0.794772	2.43406e-006	0.143491	0.856409	9.95204e-005
2013.25	0.204565	0.795429	5.30541e-006	0.142933	0.856922	0.000144739
2013.38	0.203939	0.796051	9.85085e-006	0.142386	0.857418	0.000196309
2013.5	0.203344	0.79664	1.63881e-005	0.141848	0.857899	0.000253179
2013.63	0.202778	0.797197	2.51621e-005	0.14132	0.858366	0.000314306
2013.75	0.20224	0.797724	3.63379e-005	0.140802	0.858819	0.000378694
2013.88	0.201728	0.798222	5.0001e-005	0.140293	0.859261	0.000445407
2014	0.20124	0.798694	6.61604e-005	0.139794	0.859692	0.00051359
2014.13	0.200775	0.79914	8.47557e-005	0.139305	0.860113	0.000582472
2014.25	0.200332	0.799562	0.000105665	0.138824	0.860524	0.000651367
2014.38	0.19991	0.799962	0.000128716	0.138353	0.860927	0.000719676
2014.5	0.199506	0.80034	0.000153695	0.137891	0.861322	0.00078688
2014.63	0.199121	0.800698	0.000180355	0.137438	0.86171	0.000852538
2014.75	0.198754	0.801038	0.000208428	0.136993	0.86209	0.000916283
2014.88	0.198403	0.80136	0.000237631	0.136557	0.862465	0.000977811
2015	0.198067	0.801665	0.000267671	0.13613	0.862833	0.00103688
2015.13	0.197747	0.801955	0.000298257	0.135711	0.863196	0.0010933
2015.25	0.19744	0.802231	0.000329097	0.1353	0.863553	0.00114694
2015.38	0.197147	0.802493	0.000359907	0.134897	0.863905	0.0011977
2015.5	0.196867	0.802742	0.000390415	0.134502	0.864253	0.00124552
2015.63	0.1966	0.80298	0.00042036	0.134114	0.864596	0.00129037
2015.75	0.196344	0.803207	0.000449496	0.133734	0.864934	0.00133226
2015.88	0.196099	0.803423	0.000477597	0.133361	0.865267	0.00137121
2016	0.195865	0.803631	0.000504452	0.132996	0.865597	0.00140728
2016.13	0.195641	0.803829	0.000529871	0.132637	0.865922	0.00144051
2016.25	0.195427	0.804019	0.000553684	0.132286	0.866243	0.00147099
2016.38	0.195222	0.804202	0.000575744	0.131941	0.866561	0.00149881
2016.5	0.195027	0.804377	0.000595924	0.131602	0.866874	0.00152407
2016.63	0.194839	0.804547	0.000614117	0.13127	0.867183	0.00154685
2016.75	0.19466	0.80471	0.000630242	0.130944	0.867489	0.00156728
2016.88	0.194489	0.804867	0.000644236	0.130624	0.86779	0.00158545
2017	0.194325	0.805019	0.000656059	0.13031	0.868088	0.00160149
2017.13	0.194168	0.805167	0.000665691	0.130002	0.868382	0.0016155
2017.25	0.194017	0.80531	0.000673134	0.1297	0.868673	0.00162758
2017.38	0.193873	0.805449	0.000678407	0.129403	0.86896	0.00163786
2017.5	0.193735	0.805584	0.000681549	0.129111	0.869243	0.00164644
2017.63	0.193602	0.805715	0.000682613	0.128824	0.869522	0.00165341
2017.75	0.193475	0.805844	0.000681671	0.128543	0.869798	0.00165889
2017.88	0.193352	0.805969	0.000678807	0.128266	0.870071	0.00166296
2018	0.193234	0.806092	0.000674116	0.127995	0.87034	0.00166573
2018.13	0.193121	0.806212	0.000667707	0.127728	0.870605	0.00166728
2018.25	0.193011	0.806329	0.000659693	0.127465	0.870867	0.00166769
2018.38	0.192905	0.806445	0.000650198	0.127207	0.871126	0.00166705
2018.5	0.192803	0.806558	0.000639348	0.126954	0.871381	0.00166544
2018.63	0.192703	0.80667	0.000627274	0.126704	0.871633	0.00166292
2018.75	0.192607	0.806779	0.000614106	0.126459	0.871881	0.00165958
2018.88	0.192513	0.806888	0.000599975	0.126218	0.872127	0.00165546
2019	0.192421	0.806994	0.000585012	0.125981	0.872369	0.00165064
2019.13	0.192331	0.807099	0.000569342	0.125747	0.872608	0.00164517
2019.25	0.192243	0.807203	0.000553087	0.125517	0.872844	0.00163911
2019.38	0.192157	0.807306	0.000536365	0.125291	0.873076	0.0016325
2019.5	0.192073	0.807408	0.000519287	0.125068	0.873306	0.0016254
2019.63	0.191989	0.807509	0.000501956	0.124849	0.873533	0.00161785
2019.75	0.191907	0.807609	0.000484471	0.124633	0.873757	0.00160989
2019.88	0.191826	0.807708	0.00046692	0.124421	0.873978	0.00160156
2020	0.191745	0.807806	0.000449387	0.124211	0.874196	0.00159289
2020.13	0.191665	0.807903	0.000431946	0.124005	0.874411	0.00158392
2020.25	0.191585	0.808	0.000414665	0.123802	0.874624	0.00157469
2020.38	0.191506	0.808096	0.000397602	0.123601	0.874834	0.0015652
2020.5	0.191427	0.808192	0.000380811	0.123404	0.875041	0.00155551
2020.63	0.191349	0.808287	0.000364338	0.123209	0.875246	0.00154562
2020.75	0.19127	0.808382	0.000348221	0.123017	0.875448	0.00153556
2020.88	0.191192	0.808476	0.000332494	0.122827	0.875647	0.00152536
2021	0.191113	0.80857	0.000317186	0.12264	0.875845	0.00151503
2021.13	0.191034	0.808663	0.000302316	0.122456	0.876039	0.00150459
2021.25	0.190955	0.808757	0.000287905	0.122274	0.876232	0.00149406
2021.38	0.190876	0.80885	0.000273963	0.122094	0.876422	0.00148345
2021.5	0.190797	0.808943	0.000260502	0.121917	0.87661	0.00147278
2021.63	0.190717	0.809036	0.000247525	0.121742	0.876796	0.00146205
2021.75	0.190636	0.809129	0.000235035	0.121569	0.87698	0.00145129
2021.88	0.190556	0.809221	0.000223033	0.121398	0.877161	0.00144049
2022	0.190475	0.809314	0.000211514	0.12123	0.877341	0.00142968
2022.13	0.190393	0.809407	0.000200473	0.121063	0.877518	0.00141886
2022.25	0.190311	0.8095	0.000189905	0.120898	0.877694	0.00140804
2022.38	0.190228	0.809592	0.0001798	0.120735	0.877868	0.00139722
2022.5	0.190144	0.809686	0.000170147	0.120574	0.87804	0.00138642
2022.63	0.19006	0.809779	0.000160937	0.120415	0.87821	0.00137563
2022.75	0.189976	0.809872	0.000152157	0.120257	0.878378	0.00136487
2022.88	0.18989	0.809966	0.000143795	0.120101	0.878545	0.00135414
2023	0.189804	0.81006	0.000135837	0.119947	0.87871	0.00134345
2023.13	0.189717	0.810154	0.000128271	0.119794	0.878873	0.0013328
2023.25	0.18963	0.810249	0.000121081	0.119642	0.879035	0.00132219
2023.38	0.189541	0.810344	0.000114254	0.119492	0.879196	0.00131162
2023.5	0.189452	0.81044	0.000107777	0.119344	0.879355	0.00130111
2023.63	0.189362	0.810536	0.000101635	0.119197	0.879512	0.00129064
2023.75	0.189271	0.810633	9.58137e-005	0.119051	0.879669	0.00128024
2023.88	0.18918	0.81073	9.03003e-005	0.118907	0.879824	0.00126989
2024	0.189087	0.810828	8.50809e-005	0.118763	0.879977	0.0012596
2024.13	0.188994	0.810926	8.01424e-005	0.118621	0.88013	0.00124937
2024.25	0.188899	0.811025	7.54719e-005	0.11848	0.880281	0.0012392
2024.38	0.188804	0.811125	7.10569e-005	0.11834	0.880431	0.0012291
2024.5	0.188707	0.811226	6.68851e-005	0.118201	0.88058	0.00121906
2024.63	0.18861	0.811327	6.29448e-005	0.118063	0.880727	0.00120909
2024.75	0.188512	0.811429	5.92245e-005	0.117927	0.880874	0.00119919
2024.88	0.188412	0.811532	5.57133e-005	0.117791	0.88102	0.00118935
2025	0.188312	0.811636	5.24005e-005	0.117655	0.881165	0.00117959
2025.13	0.18821	0.811741	4.9276e-005	0.117521	0.881309	0.00116989
2025.25	0.188107	0.811847	4.63299e-005	0.117388	0.881452	0.00116026
2025.38	0.188003	0.811954	4.3553e-005	0.117255	0.881594	0.00115071
2025.5	0.187898	0.812061	4.09362e-005	0.117123	0.881736	0.00114122
2025.63	0.187791	0.81217	3.8471e-005	0.116992	0.881876	0.00113181
2025.75	0.187683	0.81228	3.61492e-005	0.116861	0.882016	0.00112246
2025.88	0.187575	0.812392	3.3963e-005	0.116731	0.882156	0.00111319
2026	0.187464	0.812504	3.19049e-005	0.116602	0.882294	0.00110399
2026.13	0.187353	0.812617	2.99678e-005	0.116473	0.882432	0.00109485
2026.25	0.18724	0.812732	2.81451e-005	0.116345	0.88257	0.00108579
2026.38	0.187125	0.812848	2.64302e-005	0.116217	0.882707	0.0010768
2026.5	0.187009	0.812966	2.48172e-005	0.116089	0.882843	0.00106788
2026.63	0.186892	0.813085	2.33003e-005	0.115962	0.882979	0.00105903
2026.75	0.186773	0.813205	2.1874e-005	0.115835	0.883114	0.00105025
2026.88	0.186653	0.813326	2.0533e-005	0.115709	0.883249	0.00104154
2027	0.186531	0.81345	1.92725e-005	0.115583	0.883384	0.0010329
2027.13	0.186408	0.813574	1.80879e-005	0.115457	0.883518	0.00102433
2027.25	0.186283	0.8137	1.69747e-005	0.115332	0.883652	0.00101583
2027.38	0.186156	0.813828	1.59288e-005	0.115207	0.883786	0.0010074
2027.5	0.186028	0.813957	1.49462e-005	0.115082	0.883919	0.000999031
2027.63	0.185898	0.814088	1.40232e-005	0.114957	0.884053	0.000990733
2027.75	0.185766	0.814221	1.31563e-005	0.114832	0.884186	0.000982502
2027.88	0.185632	0.814355	1.23421e-005	0.114707	0.884318	0.000974339
2028	0.185497	0.814492	1.15777e-005	0.114583	0.884451	0.000966241
2028.13	0.18536	0.814629	1.08599e-005	0.114458	0.884584	0.00095821
2028.25	0.185221	0.814769	1.0186e-005	0.114333	0.884716	0.000950245
2028.38	0.18508	0.814911	9.55346e-006	0.114209	0.884849	0.000942345
2028.5	0.184937	0.815054	8.9597e-006	0.114084	0.884981	0.000934509
2028.63	0.184792	0.8152	8.40241e-006	0.11396	0.885114	0.000926738
2028.75	0.184645	0.815347	7.8794e-006	0.113835	0.885246	0.000919031
2028.88	0.184496	0.815497	7.38861e-006	0.11371	0.885379	0.000911387
2029	0.184345	0.815648	6.92807e-006	0.113585	0.885512	0.000903806
2029.13	0.184192	0.815802	6.49597e-006	0.113459	0.885644	0.000896288
2029.25	0.184037	0.815957	6.09056e-006	0.113334	0.885777	0.000888832
2029.38	0.183879	0.816115	5.71024e-006	0.113208	0.88591	0.000881437
2029.5	0.18372	0.816275	5.35346e-006	0.113082	0.886044	0.000874103
2029.63	0.183558	0.816437	5.01879e-006	0.112956	0.886177	0.00086683
2029.75	0.183394	0.816602	4.70488e-006	0.112829	0.886311	0.000859617
2029.88	0.183227	0.816769	4.41046e-006	0.112702	0.886445	0.000852464
2030	0.183058	0.816938	4.13433e-006	0.112575	0.88658	0.00084537
2030.13	0.182887	0.817109	3.87537e-006	0.112447	0.886714	0.000838335
2030.25	0.182713	0.817283	3.63253e-006	0.112319	0.88685	0.000831358
2030.38	0.182537	0.817459	3.4048e-006	0.112191	0.886985	0.000824439
2030.5	0.182359	0.817638	3.19127e-006	0.112062	0.887121	0.000817577
2030.63	0.182178	0.817819	2.99105e-006	0.111932	0.887257	0.000810772
2030.75	0.181994	0.818003	2.80333e-006	0.111802	0.887394	0.000804024
2030.88	0.181808	0.81819	2.62732e-006	0.111671	0.887531	0.000797332
2031	0.181619	0.818379	2.46231e-006	0.11154	0.887669	0.000790695
2031.13	0.181427	0.81857	2.30761e-006	0.111409	0.887807	0.000784113
2031.25	0.181233	0.818765	2.16259e-006	0.111276	0.887946	0.000777586
2031.38	0.181036	0.818962	2.02664e-006	0.111143	0.888085	0.000771113
2031.5	0.180836	0.819162	1.8992e-006	0.11101	0.888225	0.000764695
2031.63	0.180634	0.819364	1.77974e-006	0.110876	0.888366	0.000758329
