Time	Trip Fraction[public transport]	Trip Fraction[regular car]	Trip Fraction[electric car]	Owner Fraction[public transport]	Owner Fraction[regular car]	Owner Fraction[electric car]
2010	0.239378	0.760622	0	0.160822	0.839178	0
2010.13	0.239378	0.760622	0	0.160822	0.839178	0
2010.25	0.236817	0.763183	0	0.159912	0.840088	0
2010.38	0.234394	0.765606	0	0.159018	0.840982	0
2010.5	0.232113	0.767887	0	0.158143	0.841857	0
2010.63	0.229965	0.770036	0	0.157288	0.842712	0
2010.75	0.227941	0.772059	0	0.156452	0.843548	0
2010.88	0.226034	0.773966	0	0.155634	0.844366	0
2011	0.224236	0.775764	0	0.154833	0.845167	0
2011.13	0.222542	0.777458	0	0.154049	0.845951	0
2011.25	0.220943	0.779057	0	0.153282	0.846718	0
2011.38	0.219435	0.780565	0	0.152531	0.847469	0
2011.5	0.218011	0.781989	0	0.151796	0.848204	0
2011.63	0.216667	0.783333	0	0.151076	0.848924	0
2011.75	0.215398	0.784602	0	0.150372	0.849628	0
2011.88	0.214198	0.785802	0	0.149681	0.850319	0
2012	0.213064	0.786936	0	0.149005	0.850995	0
2012.13	0.211991	0.788009	0	0.148343	0.851657	0
2012.25	0.212004	0.787996	0	0.147694	0.852306	0
2012.38	0.212115	0.787885	0	0.147074	0.852926	0
2012.5	0.212312	0.787688	0	0.14648	0.85352	0
2012.63	0.212593	0.787407	0	0.145913	0.854087	0
2012.75	0.212952	0.787048	0	0.145371	0.854629	0
2012.88	0.213387	0.786613	0	0.144854	0.855146	0
2013	0.213894	0.786106	0	0.144362	0.855637	0
2013.13	0.214472	0.785528	0	0.143896	0.856104	0
2013.25	0.215119	0.784881	0	0.143454	0.856546	0
2013.38	0.215832	0.784168	0	0.143037	0.856963	0
2013.5	0.216611	0.783389	0	0.142645	0.857355	0
2013.63	0.217454	0.782546	0	0.142278	0.857722	0
2013.75	0.218361	0.781639	0	0.141936	0.858064	0
2013.88	0.21933	0.78067	0	0.141618	0.858382	0
2014	0.220362	0.779638	0	0.141326	0.858674	0
2014.13	0.221455	0.778545	0	0.141059	0.858941	0
2014.25	0.22261	0.77739	0	0.140816	0.859184	0
2014.38	0.223825	0.776175	0	0.140599	0.859401	0
2014.5	0.225101	0.774899	0	0.140408	0.859592	0
2014.63	0.226437	0.773563	0	0.140241	0.859759	0
2014.75	0.227834	0.772166	0	0.140101	0.859899	0
2014.88	0.22929	0.77071	0	0.139985	0.860015	0
2015	0.230805	0.769195	0	0.139896	0.860104	0
2015.13	0.232378	0.767622	0	0.139832	0.860168	0
2015.25	0.234009	0.765991	0	0.139793	0.860207	0
2015.38	0.235698	0.764302	0	0.13978	0.86022	0
2015.5	0.237442	0.762558	0	0.139792	0.860208	0
2015.63	0.239242	0.760758	0	0.139829	0.860171	0
2015.75	0.241096	0.758904	0	0.139892	0.860108	0
2015.88	0.243003	0.756997	0	0.139979	0.860021	0
2016	0.244961	0.755039	0	0.140091	0.859909	0
2016.13	0.246969	0.753031	0	0.140227	0.859773	0
2016.25	0.248958	0.751042	0	0.140377	0.859623	0
2016.38	0.250932	0.749068	0	0.140542	0.859458	0
2016.5	0.252894	0.747106	0	0.140721	0.859279	0
2016.63	0.254848	0.745152	0	0.140915	0.859085	0
2016.75	0.256797	0.743203	0	0.141124	0.858876	0
2016.88	0.258744	0.741256	0	0.141347	0.858653	0
2017	0.260691	0.739309	0	0.141584	0.858416	0
2017.13	0.262639	0.737361	0	0.141837	0.858163	0
2017.25	0.264591	0.735409	0	0.142104	0.857896	0
2017.38	0.266547	0.733453	0	0.142385	0.857615	0
2017.5	0.268515	0.731485	0	0.142682	0.857318	0
2017.63	0.270514	0.729486	0	0.142999	0.857001	0
2017.75	0.272545	0.727455	0	0.143334	0.856666	0
2017.88	0.274608	0.725392	0	0.143688	0.856312	0
2018	0.276704	0.723296	0	0.144061	0.855939	0
2018.13	0.278831	0.721169	0	0.144453	0.855547	0
2018.25	0.280991	0.719009	0	0.144864	0.855136	0
2018.38	0.283183	0.716817	0	0.145293	0.854707	0
2018.5	0.285407	0.714593	0	0.145741	0.854259	0
2018.63	0.287662	0.712338	0	0.146208	0.853792	0
2018.75	0.289947	0.710053	0	0.146693	0.853307	0
2018.88	0.292264	0.707736	0	0.147195	0.852805	0
2019	0.294609	0.705391	0	0.147716	0.852284	0
2019.13	0.296984	0.703016	0	0.148254	0.851746	0
2019.25	0.299387	0.700613	0	0.14881	0.85119	0
2019.38	0.301817	0.698183	0	0.149383	0.850617	0
2019.5	0.304274	0.695726	0	0.149973	0.850027	0
2019.63	0.306756	0.693244	0	0.15058	0.84942	0
2019.75	0.309263	0.690737	0	0.151204	0.848796	0
2019.88	0.311793	0.688207	0	0.151843	0.848157	0
2020	0.314346	0.685654	0	0.152499	0.847501	0
2020.13	0.316919	0.683081	0	0.15317	0.84683	0
2020.25	0.319513	0.680487	0	0.153857	0.846143	0
2020.38	0.322126	0.677874	0	0.154559	0.845441	0
2020.5	0.324757	0.675243	0	0.155276	0.844724	0
2020.63	0.327404	0.672596	0	0.156007	0.843993	0
2020.75	0.330067	0.669933	0	0.156752	0.843248	0
2020.88	0.332744	0.667256	0	0.157511	0.842489	0
2021	0.335433	0.664567	0	0.158284	0.841716	0
2021.13	0.338135	0.661865	0	0.15907	0.84093	0
2021.25	0.340847	0.659153	0	0.159868	0.840132	0
2021.38	0.343568	0.656432	0	0.160679	0.839321	0
2021.5	0.346297	0.653703	0	0.161502	0.838498	0
2021.63	0.349033	0.650967	0	0.162337	0.837663	0
2021.75	0.351774	0.648226	0	0.163184	0.836816	0
2021.88	0.35452	0.64548	0	0.164041	0.835959	0
2022	0.357269	0.642731	0	0.164909	0.835091	0
2022.13	0.36002	0.63998	0	0.165788	0.834212	0
2022.25	0.362771	0.637229	0	0.166677	0.833323	0
2022.38	0.365523	0.634477	0	0.167575	0.832425	0
2022.5	0.368273	0.631727	0	0.168482	0.831518	0
2022.63	0.371021	0.628979	0	0.169399	0.830601	0
2022.75	0.373765	0.626235	0	0.170324	0.829676	0
2022.88	0.376504	0.623496	0	0.171257	0.828743	0
2023	0.379238	0.620762	0	0.172198	0.827802	0
2023.13	0.381966	0.618034	0	0.173147	0.826853	0
2023.25	0.384686	0.615314	0	0.174103	0.825897	0
2023.38	0.387397	0.612603	0	0.175065	0.824935	0
2023.5	0.390099	0.609901	0	0.176035	0.823965	0
2023.63	0.392791	0.607209	0	0.17701	0.82299	0
2023.75	0.395472	0.604528	0	0.177991	0.822009	0
2023.88	0.398142	0.601858	0	0.178978	0.821023	0
2024	0.400798	0.599202	0	0.179969	0.820031	0
2024.13	0.403441	0.596559	0	0.180966	0.819034	0
2024.25	0.406071	0.593929	0	0.181967	0.818033	0
2024.38	0.408685	0.591315	0	0.182972	0.817028	0
2024.5	0.411285	0.588715	0	0.183981	0.816019	0
2024.63	0.413868	0.586132	0	0.184994	0.815006	0
2024.75	0.416435	0.583565	0	0.18601	0.81399	0
2024.88	0.418984	0.581016	0	0.187029	0.812971	0
2025	0.421517	0.578483	0	0.188051	0.811949	0
2025.13	0.424031	0.575969	0	0.189075	0.810925	0
2025.25	0.426526	0.573474	0	0.190101	0.809899	0
2025.38	0.429003	0.570997	0	0.191129	0.808871	0
2025.5	0.43146	0.56854	0	0.192159	0.807841	0
2025.63	0.433898	0.566102	0	0.19319	0.80681	0
2025.75	0.436315	0.563685	0	0.194222	0.805778	0
2025.88	0.438712	0.561288	0	0.195254	0.804746	0
2026	0.441089	0.558911	0	0.196288	0.803712	0
2026.13	0.443444	0.556556	0	0.197321	0.802679	0
2026.25	0.445778	0.554222	0	0.198355	0.801645	0
2026.38	0.448091	0.551909	0	0.199388	0.800611	0
2026.5	0.450383	0.549617	0	0.200422	0.799578	0
2026.63	0.452652	0.547348	0	0.201454	0.798546	0
2026.75	0.4549	0.5451	0	0.202486	0.797514	0
2026.88	0.457125	0.542875	0	0.203516	0.796484	0
2027	0.459329	0.540671	0	0.204546	0.795454	0
2027.13	0.46151	0.53849	0	0.205574	0.794426	0
2027.25	0.463668	0.536332	0	0.2066	0.7934	0
2027.38	0.465805	0.534195	0	0.207625	0.792375	0
2027.5	0.467919	0.532081	0	0.208647	0.791353	0
2027.63	0.470011	0.529989	0	0.209667	0.790332	0
2027.75	0.47208	0.52792	0	0.210685	0.789315	0
2027.88	0.474126	0.525874	0	0.211701	0.788299	0
2028	0.476151	0.523849	0	0.212714	0.787286	0
2028.13	0.478153	0.521847	0	0.213724	0.786276	0
2028.25	0.480133	0.519867	0	0.214731	0.785269	0
2028.38	0.48209	0.51791	0	0.215734	0.784266	0
2028.5	0.484025	0.515975	0	0.216735	0.783265	0
2028.63	0.485939	0.514061	0	0.217732	0.782268	0
2028.75	0.48783	0.51217	0	0.218726	0.781274	0
2028.88	0.4897	0.5103	0	0.219716	0.780284	0
2029	0.491547	0.508453	0	0.220702	0.779298	0
2029.13	0.493374	0.506626	0	0.221684	0.778316	0
2029.25	0.495178	0.504822	0	0.222662	0.777338	0
2029.38	0.496962	0.503038	0	0.223636	0.776364	0
2029.5	0.498724	0.501276	0	0.224606	0.775394	0
2029.63	0.500465	0.499535	0	0.225571	0.774429	0
2029.75	0.502186	0.497814	0	0.226532	0.773468	0
2029.88	0.503886	0.496115	0	0.227489	0.772511	0
2030	0.505565	0.494435	0	0.22844	0.77156	0
2030.13	0.507224	0.492776	0	0.229387	0.770613	0
2030.25	0.508863	0.491137	0	0.23033	0.76967	0
2030.38	0.510482	0.489518	0	0.231267	0.768733	0
2030.5	0.512081	0.487919	0	0.2322	0.7678	0
2030.63	0.51366	0.48634	0	0.233127	0.766873	0
2030.75	0.515221	0.484779	0	0.234049	0.765951	0
2030.88	0.516762	0.483238	0	0.234967	0.765033	0
2031	0.518284	0.481716	0	0.235879	0.764121	0
2031.13	0.519788	0.480212	0	0.236785	0.763215	0
2031.25	0.521273	0.478727	0	0.237687	0.762313	0
2031.38	0.52274	0.47726	0	0.238583	0.761417	0
2031.5	0.524188	0.475812	0	0.239473	0.760527	0
2031.63	0.525619	0.474381	0	0.240358	0.759642	0
2031.75	0.527032	0.472968	0	0.241238	0.758762	0
2031.88	0.528428	0.471572	0	0.242112	0.757888	0
2032	0.529807	0.470193	0	0.24298	0.75702	0
2032.13	0.531169	0.468831	0	0.243843	0.756157	0
2032.25	0.532513	0.467487	0	0.2447	0.7553	0
2032.38	0.533842	0.466158	0	0.245552	0.754448	0
2032.5	0.535154	0.464846	0	0.246398	0.753602	0
2032.63	0.536449	0.463551	0	0.247238	0.752762	0
2032.75	0.537729	0.462271	0	0.248072	0.751928	0
2032.88	0.538994	0.461006	0	0.2489	0.7511	0
2033	0.540242	0.459758	0	0.249723	0.750277	0
2033.13	0.541476	0.458524	0	0.25054	0.749461	0
2033.25	0.542694	0.457306	0	0.25135	0.74865	0
2033.38	0.543898	0.456102	0	0.252156	0.747844	0
2033.5	0.545087	0.454913	0	0.252955	0.747045	0
2033.63	0.546261	0.453739	0	0.253748	0.746252	0
2033.75	0.547422	0.452578	0	0.254536	0.745464	0
2033.88	0.548568	0.451432	0	0.255317	0.744683	0
2034	0.5497	0.4503	0	0.256093	0.743907	0
2034.13	0.550819	0.449181	0	0.256863	0.743137	0
2034.25	0.551925	0.448075	0	0.257627	0.742373	0
2034.38	0.553017	0.446983	0	0.258385	0.741615	0
2034.5	0.554096	0.445904	0	0.259137	0.740863	0
2034.63	0.555163	0.444837	0	0.259883	0.740117	0
2034.75	0.556217	0.443783	0	0.260623	0.739377	0
2034.88	0.557258	0.442742	0	0.261358	0.738642	0
2035	0.558287	0.441713	0	0.262087	0.737913	0
2035.13	0.559304	0.440696	0	0.262809	0.737191	0
2035.25	0.560309	0.439691	0	0.263526	0.736474	0
2035.38	0.561303	0.438697	0	0.264237	0.735763	0
2035.5	0.562285	0.437715	0	0.264943	0.735057	0
2035.63	0.563255	0.436745	0	0.265642	0.734358	0
2035.75	0.564215	0.435785	0	0.266336	0.733664	0
2035.88	0.565163	0.434837	0	0.267024	0.732976	0
2036	0.566101	0.433899	0	0.267706	0.732294	0
2036.13	0.567028	0.432972	0	0.268383	0.731617	0
2036.25	0.567944	0.432056	0	0.269053	0.730947	0
2036.38	0.56885	0.43115	0	0.269719	0.730281	0
2036.5	0.569746	0.430254	0	0.270378	0.729622	0
2036.63	0.570632	0.429368	0	0.271032	0.728968	0
2036.75	0.571508	0.428492	0	0.27168	0.72832	0
2036.88	0.572374	0.427626	0	0.272322	0.727678	0
2037	0.573231	0.426769	0	0.272959	0.727041	0
2037.13	0.574078	0.425922	0	0.27359	0.726409	0
2037.25	0.574917	0.425083	0	0.274216	0.725784	0
2037.38	0.575746	0.424254	0	0.274837	0.725163	0
2037.5	0.576566	0.423434	0	0.275451	0.724549	0
2037.63	0.577377	0.422623	0	0.276061	0.723939	0
